station,frequency,year,url,dest
22217,daily,1938,https://data.meteostat.net/daily/1938/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1938\22217.csv.gz
22217,daily,1939,https://data.meteostat.net/daily/1939/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1939\22217.csv.gz
22217,daily,1940,https://data.meteostat.net/daily/1940/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1940\22217.csv.gz
22217,daily,1941,https://data.meteostat.net/daily/1941/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1941\22217.csv.gz
22217,daily,1942,https://data.meteostat.net/daily/1942/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1942\22217.csv.gz
22217,daily,1943,https://data.meteostat.net/daily/1943/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1943\22217.csv.gz
22217,daily,1944,https://data.meteostat.net/daily/1944/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1944\22217.csv.gz
22217,daily,1945,https://data.meteostat.net/daily/1945/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1945\22217.csv.gz
22217,daily,1946,https://data.meteostat.net/daily/1946/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1946\22217.csv.gz
22217,daily,1947,https://data.meteostat.net/daily/1947/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1947\22217.csv.gz
22217,daily,1948,https://data.meteostat.net/daily/1948/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1948\22217.csv.gz
22217,daily,1949,https://data.meteostat.net/daily/1949/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1949\22217.csv.gz
22217,daily,1950,https://data.meteostat.net/daily/1950/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1950\22217.csv.gz
22217,daily,1951,https://data.meteostat.net/daily/1951/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1951\22217.csv.gz
22217,daily,1952,https://data.meteostat.net/daily/1952/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1952\22217.csv.gz
22217,daily,1953,https://data.meteostat.net/daily/1953/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1953\22217.csv.gz
22217,daily,1954,https://data.meteostat.net/daily/1954/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1954\22217.csv.gz
22217,daily,1955,https://data.meteostat.net/daily/1955/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1955\22217.csv.gz
22217,daily,1956,https://data.meteostat.net/daily/1956/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1956\22217.csv.gz
22217,daily,1957,https://data.meteostat.net/daily/1957/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1957\22217.csv.gz
22217,daily,1958,https://data.meteostat.net/daily/1958/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1958\22217.csv.gz
22217,daily,1959,https://data.meteostat.net/daily/1959/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1959\22217.csv.gz
22217,daily,1960,https://data.meteostat.net/daily/1960/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1960\22217.csv.gz
22217,daily,1961,https://data.meteostat.net/daily/1961/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1961\22217.csv.gz
22217,daily,1962,https://data.meteostat.net/daily/1962/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1962\22217.csv.gz
22217,daily,1963,https://data.meteostat.net/daily/1963/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1963\22217.csv.gz
22217,daily,1964,https://data.meteostat.net/daily/1964/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1964\22217.csv.gz
